song,album
*,A New Kind of Sexy
* ('A New Kind of Sexy' bonus track),A New Kind of Sexy
4AM Monday,A New Kind of Sexy
A Conversation With Bieber,Guilty Pleasures
A Hundred Words You Could Say Instead of Swag,Nothing Like the First Time
A Love Story,-
A New Kind Of Sexy,A New Kind of Sexy
All I Ever Wanted,Nothing Like the First Time
All I Need Is One,Cardboard Castles
All You Can Do,All You Can Do
Amplified (feat. Rafael Casal),Watsky
An Open Letter (Interlude)*,-
Ask Me Anything,A New Kind of Sexy
At The Strip Club,Oops! All Berries
Awesome Phone Commercial,-
Backburner,Oops! All Berries
Bad Words,Oops! All Berries
Beginning of the End,Invisible Inc.
Bet Against Me,All You Can Do
Boomerang,All You Can Do
Brave New World,X Infinity
Breakbeat,Oops! All Berries
Bucketlist,Nothing Like the First Time
Call and Response (For One),Invisible Inc.
Calling All Cars,Invisible Inc.
Cannonball,All You Can Do
Cardboard Castles,Cardboard Castles
Chemical Angel,X Infinity
Color Lines,Guilty Pleasures
Conversations,X Infinity
D.A.N.C.E. Remix,A New Kind of Sexy
Danger,A New Kind of Sexy
Dedicated To Christina Li,Cardboard Castles
Dent In The Moon,Cardboard Castles
Difference is the Differences,Nothing Like the First Time
Doc Brown vs Doctor Who,-
Don't Be Nice,X Infinity
Dr Seuss vs Shakespeare,-
Drunk Text Message to God,-
Duke Smellington,Oops! All Berries
Duke Westlake Cypher,-
Emcee Rhetoric,Invisible Inc.
Energy,A New Kind of Sexy
Everything Turns Gold,Guilty Pleasures
Exquisite Corpse,X Infinity
f** An Emcee Name,Guilty Pleasures
Fast Rapper Watsky Has Damages Rapped up,-
Fight! Fight! Fight!,Guilty Pleasures
Fireworks,Cardboard Castles
Five Finger Discount,Invisible Inc.
G.O.A.T.(W.G.M.F.M.C.),Watsky
Ghost Party,-
Girl Next Door,Guilty Pleasures
Give a hater a hug,-
Goat Fast Rapper,-
Going Down,X Infinity
Gra** Is Greener,All You Can Do
Gummy Bear Hundrednaire,Nothing Like the First Time
Hand Over Hand,All You Can Do
Headphones,Watsky
Headphones Remix,-
Headphones-Amplified,Guilty Pleasures
Hercules,Guilty Pleasures
"Hey, A*****e - feat. Kate Nash",-
"Hey, Asshole",Cardboard Castles
How it used to be,Oops! All Berries
I Got This Love,Guilty Pleasures
I'm Dope,-
IDGAF,Nothing Like the First Time
Ink Don't Bleed,All You Can Do
Interview with Def Poet George Watsky,-
k** A Hipster,Cardboard Castles
Kick Monday,-
Kidnap Your Boyfriend,A New Kind of Sexy
Knots,X Infinity
Leopards & Horseshoes,-
Let Go,Oops! All Berries
